,,,,,,,,,,,Vegas,,,
Rk,Team,Date,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result
260,ARI,10/29/00,41,70,Sun,8,9,,NOR,L 10-21,6,did not cover,41,under
261,ARI,10/22/00,41.5,70,Sun,7,8,@,DAL,L 7-48,7,did not cover,41.5,over
262,ARI,10/15/00,39,80,Sun,6,7,,PHI,L 14-33,2.5,did not cover,39,over
263,ARI,10/8/00,40.5,87,Sun,5,6,,CLE,W 29-21,-4.5,covered,40.5,over
264,ARI,10/1/00,47.5,72,Sun,4,5,@,SFO,L 20-27,3.5,did not cover,47.5,under
265,ARI,9/24/00,42,87,Sun,3,4,,GNB,L 3-29,-1,did not cover,42,under
266,ARI,9/10/00,38.5,100,Sun,2,2,,DAL,W 32-31,-3,did not cover,38.5,over
267,ARI,9/3/00,40,80,Sun,1,1,@,NYG,L 16-21,6.5,covered,40,under
268,ATL,11/10/24,46.5,78,Sun,10,10,@,NOR,L 17-20,-3.5,did not cover,46.5,under
269,ATL,11/3/24,52,66,Sun,9,9,,DAL,W 27-21,-3,covered,52,under
270,ATL,10/27/24,45.5,79,Sun,8,8,@,TAM,W 31-26,-2.5,covered,45.5,over
271,ATL,10/20/24,52,69,Sun,7,7,,SEA,L 14-34,-3,did not cover,52,under
272,ATL,10/13/24,47,79,Sun,6,6,@,CAR,W 38-20,-6.5,covered,47,over
273,ATL,10/3/24,44,0,Thu,5,5,,TAM,W 36-30 (OT),-1.5,covered,44,over
274,ATL,9/29/24,41,75,Sun,4,4,,NOR,W 26-24,-2.5,did not cover,41,over
